location,year,grantee,description,amount,term,program
"Oakland, CA",2017,Bay Area Legal Aid,Support for the first phase development of a new digital intake system to support efficiency and innovation among legal providers in improving access to justic…,"$50,000",12 months,Special Initiative: Civil Legal Aid
"Minneapolis, MN",2017,Borealis Philanthropy,"Support for the Communities Transforming Policing Fund, a pooled donor fund supporting local police reform activities throughout the United States. ","$125,000",24 months,Special Opportunities
"Philadelphia, PA",2017,American Friends Service Committee,Support for organizational and leadership organizational capacity-building.,"$40,000",12 months,Special Opportunities
"Lansing, MI",2017,Citizens Alliance on Prisons and Public Spending,Support for organizational and leadership organizational capacity-building. ,"$40,000",12 months,Special Opportunities
"Austin, TX",2017,Texas Criminal Justice Coalition,Support for organizational and leadership organizational capacity-building. ,"$40,000",12 months,Special Opportunities
"Baltimore, MD",2017,"Community Law in Action, Inc.",Support for a campaign to end the automatic prosecution of youth as adults in Maryland. ,"$200,000",24 months,Youth Justice
"New York, NY",2017,The New Press,Support to develop and publish two books with a focus on workers' rights and worker safety. ,"$100,000",24 months,Special Opportunities
"New York, NY",2017,Pro Bono Net,"Support for outreach and engagement of community and nontraditional justice partners to help increase the availability of immi, a highly scalable digital solut…","$65,000",12 months,Special Initiative: Civil Legal Aid
"Washington, DC",2017,Georgetown University,Support to the Institute for Technology Law and Policy at Georgetown University for research and mapping of access to justice tools that are being used around …,"$125,000",24 months,Special Initiative: Civil Legal Aid
"Washington, DC",2017,Project on Government Oversight,Support to monitor and investigate governmental policies related to conflicts of interest/ethics concerns. ,"$50,000",6 months,Special Opportunities
"Williamsburg, VA",2017,National Center for State Courts,"Support to supplement and extend the time for its project to catalyze and help courts, Access to Justice Commissions, and legal aid/bar leaders work together i…","$250,000",21 months,Special Initiative: Civil Legal Aid
"New York, NY",2017,New World Foundation,"Support for the Diverse Asset Managers Initiative to promote the increase of diverse-owned asset management firms for institutional investors, including founda…","$25,000",12 months,Special Opportunities
"Washington, DC",2017,American Bar Association Fund for Justice and Education,Support for continuing the Access to Justice Commissions Expansion Project. ,"$160,000",15 months,Special Opportunities
"Rockville, MD",2017,Pretrial Justice Institute,General support. ,"$150,000",12 months,Special Opportunities
"San Francisco, CA",2017,Tides Center,"Support for the Alliance for Safety and Justice, a multi-state advocacy campaign seeking to significantly reduce the US prison population in target states, red…","$750,000",12 months,Criminal Justice
"Washington, DC",2017,National Juvenile Justice Network,General support. ,"$400,000",24 months,Youth Justice
"Philadelphia, PA",2017,Juvenile Law Center,Support to advance litigation to challenge harmful and ineffective youth justice practices and policies. ,"$630,000",36 months,Youth Justice
"Harrisburg, PA",2017,"Youth Advocate Programs, Inc.",Support for the Policy and Advocacy Center to advocate for community alternatives to youth incarceration. ,"$250,000",24 months,Youth Justice
"Washington, DC",2017,Campaign for Youth Justice,General support. ,"$800,000",24 months,Youth Justice
"Lawrence, KS",2017,"Kansas Appleseed Center for Law and Justice, Inc.",Support for the ongoing campaign to reform the state's juvenile justice system. ,"$250,000",24 months,Youth Justice
"Washington, DC",2017,Center on Budget and Policy Priorities,"Support to provide technical assistance on fiscal and budget issues to youth decarceration campaigns, in coordination with Youth First! Initiative. ","$400,000",24 months,Youth Justice
"Washington, DC",2017,Economic Policy Institute,Support for state-based analyses of wage theft and poverty and continued public promotion of research on arbitration. ,"$150,000",9 months,Workers' Rights
"Los Angeles, CA",2017,Los Angeles Alliance for a New Economy,"Support for the Clean and Safe Ports campaign, a coordinated campaign to enforce policies preventing the misclassification of truckers operating at the ports.&…","$250,000",24 months,Workers' Rights
"Chicago, IL",2017,In These Times,Support for original news coverage and commentary on workers' rights issues in In These Times magazine and online in the blog Working In These Times.,"$160,000",24 months,Workers' Rights
"Washington, DC",2017,March on Washington Film Festival,General support. ,"$25,000",12 months,President's Discretionary Fund
"Washington, DC",2017,National Women’s Law Center,General support. ,"$25,000",12 months,President's Discretionary Fund
"New York, NY",2017,NAACP Legal Defense and Education Fund,Support for a political participation program to protect voting rights and promote civic engagement among diverse communities. ,"$125,000",12 months,Special Opportunities
"Baltimore, MD",2017,NAACP,Support for improved technology and strategic development of a national voting rights and civic engagement campaign.,"$100,000",12 months,Special Opportunities
"Los Angeles, CA",2017,National Immigration Law Center,General support. ,"$175,000",18 months,Special Opportunities
"Washington, DC",2017,Public Citizen Foundation,Support for advocacy on health and safety and regulatory policy. ,"$200,000",12 months,Workers' Rights
"Chicago, IL",2017,Northwestern University School of Law,Support for advocacy to reduce youth incarceration and racial disparities in Illinois. ,"$200,000",24 months,Youth Justice
"Easthampton, MA",2017,Prison Policy Initiative,Support to conduct strategic data analysis and produce advocacy tools to advance the national criminal justice reform movement. ,"$120,000",24 months,Criminal Justice
"New York, NY",2017,Vera Institute of Justice,Support to Common Justice to help develop community-based reinvestment strategies nationally.,"$100,000",24 months,Criminal Justice
"Berkeley, CA",2017,The Regents of the University of California,Support to the Haas Institute for a Fair and Inclusive Society at UC Berkeley for a conference to promote racial equity and inclusion.,"$25,000",12 months,President's Discretionary Fund
"San Francisco, CA",2017,State Bar of California,Support for a project to simplify the process for restoring civil rights and benefits that are lost as a result of criminal arrest or conviction which can serv…,"$50,000",12 months,Special Initiative: Civil Legal Aid
"Washington, DC",2017,American University,Support to the Justice Programs Office at American University School of Public Affairs to incorporate civil legal aid into state and local executive branch ini…,"$50,000",24 months,Special Initiative: Civil Legal Aid
"San Jose, CA",2017,Working Partnerships USA,General support. ,"$100,000",12 months,Workers' Rights
"Oakland, CA",2017,Worksafe,General support. ,"$100,000",12 months,Workers' Rights
"Chicago, IL",2017,Interfaith Worker Justice,General support. ,"$400,000",24 months,Workers' Rights
"Oakland, CA",2017,Neighborhood Funders Group,Support for Funders for a Just Economy.,"$75,000",24 months,Workers' Rights
"New York, NY",2017,Children’s Defense Fund,Support for the campaign to raise the age of juvenile court jurisdiction in New York. ,"$75,000",12 months,Youth Justice
